Moving,Dataset,Registration Error,Mean Distance
R2,Unaligned,0.026000000000000002,0.0
R2,OHSU Aligned,0.000105451,0.0
R2,Rigid alignment on DAPI,0.00010700000000000001,0.0
R2,Non-rigid alignment on channel 2,0.000155554,0.0
R3,Unaligned,0.024,0.0
R3,OHSU Aligned,0.000123375,0.0
R3,Rigid alignment on DAPI,0.000122,0.0
R3,Non-rigid alignment on channel 2,0.000273645,0.0
R4,Unaligned,0.026000000000000002,0.0
R4,OHSU Aligned,0.000112284,0.0
R4,Rigid alignment on DAPI,0.00011499999999999999,0.0
R4,Non-rigid alignment on channel 2,0.000340161,0.0
R5,Unaligned,0.055999999999999994,0.0
R5,OHSU Aligned,0.00010664299999999999,0.0
R5,Rigid alignment on DAPI,0.000103,0.0
R5,Non-rigid alignment on channel 2,0.000165012,0.0
R6,Unaligned,0.145,0.0
R6,OHSU Aligned,0.000105893,0.0
R6,Rigid alignment on DAPI,9.240000000000001e-05,0.0
R6,Non-rigid alignment on channel 2,0.000176938,0.0
R7,Unaligned,0.005,0.0
R7,OHSU Aligned,0.000107044,0.0
R7,Rigid alignment on DAPI,0.00010800000000000001,0.0
R7,Non-rigid alignment on channel 2,0.000210423,0.0
R8,Unaligned,0.039,0.0
R8,OHSU Aligned,0.000129679,0.0
R8,Rigid alignment on DAPI,0.000123,0.0
R8,Non-rigid alignment on channel 2,0.000170692,0.0
R9,Unaligned,0.017,0.0
R9,OHSU Aligned,0.00010114,0.0
R9,Rigid alignment on DAPI,0.00011,0.0
R9,Non-rigid alignment on channel 2,0.000295855,0.0
R10,Unaligned,0.034,0.0
R10,OHSU Aligned,0.000112287,0.0
R10,Rigid alignment on DAPI,0.00011,0.0
R10,Non-rigid alignment on channel 2,0.00013967799999999999,0.0
R11,Unaligned,0.015,0.0
R11,OHSU Aligned,8.690000000000001e-05,0.0
R11,Rigid alignment on DAPI,8.08e-05,0.0
R11,Non-rigid alignment on channel 2,0.000161492,0.0
R9,Round1Channel2Reg,0.0003393723163753748,2.7625679969787598
R2,Round1Channel2Reg,0.00023380067432299256,1.9031906127929688
R4,Round1Channel2Reg,0.0002181671152357012,1.7759300470352173
R5,Round1Channel2Reg,0.00023661175509914756,1.926073670387268
R7,Round1Channel2Reg,0.00019467838865239173,1.5847264528274536
R11,Round1Channel2Reg,0.0002997014089487493,2.4396376609802246
R8,Round1Channel2Reg,0.0002587633498478681,2.1063926219940186
R6,Round1Channel2Reg,0.000276633829344064,2.2518622875213623
R3,Round1Channel2Reg,0.0002220646565547213,1.8076571226119995
R10,Round1Channel2Reg,0.00019979503122158349,1.6263771057128906
R9,Round0Channel2Reg,0.00032670743530616164,2.659240484237671
R2,Round0Channel2Reg,0.0002738287439569831,2.2288331985473633
R4,Round0Channel2Reg,0.00022048789833206683,1.7946643829345703
R5,Round0Channel2Reg,0.0003176322497893125,2.5853726863861084
R7,Round0Channel2Reg,0.000274900026852265,2.2375528812408447
R11,Round0Channel2Reg,0.0003019793366547674,2.457965612411499
R8,Round0Channel2Reg,0.000293540972052142,2.3892812728881836
R6,Round0Channel2Reg,0.00031750547350384295,2.5843405723571777
R3,Round0Channel2Reg,0.00028982709045521915,2.3590521812438965
R10,Round0Channel2Reg,0.025623681023716927,208.5643310546875
R9,ManualCrop-NR,0.0003179711347911507,2.308516263961792
R2,ManualCrop-NR,0.00026214896934106946,1.903239369392395
R4,ManualCrop-NR,0.0002370309957768768,1.7208794355392456
R5,ManualCrop-NR,0.00021656624448951334,1.572302222251892
R7,ManualCrop-NR,0.00023600136046297848,1.7134039402008057
R11,ManualCrop-NR,0.00027903524460271,2.025836229324341
R8,ManualCrop-NR,0.0002763352240435779,2.0062334537506104
R6,ManualCrop-NR,0.00026580633129924536,1.9297925233840942
R3,ManualCrop-NR,0.00023958586098160595,1.739427924156189
R10,ManualCrop-NR,0.000257384090218693,1.8686456680297852
